"Name","Age","Team","Win","Loss","Save","Gm","Gs","IP","K","ERA","WHIP","FIP","xFIP","SIERA","K/9","K%","BB/9","BB%","HR/9","HR%","GB%","FB%","GB/FB","IFFB%","OFFB%","AVG","BABIP","LOB%","Soft%","Med%","Hard%","vFB","vFBfx"
"Matt Shoemaker","28.8","Angels","7","10","0","25","24","135.1","116","4.46","1.26","4.59","4.16","3.98","7.71","20.4%","2.33","6.2%","1.60","30.9%","39.2%","42.4%","0.920","9.3%","33.1%","0.255","74.1%","0.285","18.1%","51.0%","30.9%","90.2","90.3"
"Jorge Lopez","22.4","Brewers","1","1","0","2","2","10.0","10","5.40","1.90","2.93","3.82","3.92","9.00","21.7%","4.50","10.9%","0.00","26.7%","56.7%","20.0%","2.830","0.0%","20.0%","0.350","70.0%","0.467","13.3%","60.0%","26.7%","93.5","93.4"
"Tanner Roark","28.7","Nationals","4","7","1","40","12","111.0","70","4.38","1.31","4.70","4.17","4.16","5.68","15.0%","2.11","5.6%","1.38","26.3%","47.8%","30.6%","1.560","7.3%","23.3%","0.273","75.3%","0.292","21.9%","51.8%","26.3%","92.8","92.8"
"David Price","29.8","2 Teams","18","5","0","32","32","220.1","225","2.45","1.08","2.78","3.24","3.27","9.19","25.3%","1.92","5.3%","0.69","27.7%","40.4%","36.4%","1.110","11.0%","25.4%","0.227","78.6%","0.290","17.0%","55.3%","27.7%","94.2","94.0"
"Jerad Eickhoff","25.0","Phillies","3","3","0","8","8","51.0","49","2.65","1.04","3.25","3.60","3.56","8.65","24.1%","2.29","6.4%","0.88","34.0%","37.9%","40.0%","0.950","12.5%","27.5%","0.211","80.4%","0.257","19.9%","46.1%","34.0%","91.0","91.0"
"Matt Garza","31.6","Brewers","6","14","0","26","25","148.2","104","5.63","1.57","4.94","4.50","4.68","6.30","15.6%","3.45","8.6%","1.39","33.0%","45.0%","32.9%","1.370","13.2%","19.7%","0.290","65.6%","0.319","16.7%","50.3%","33.0%","92.7","92.7"
"Nate Karns","27.6","Rays","7","5","0","27","26","147.0","145","3.67","1.28","4.09","3.90","3.90","8.88","23.4%","3.43","9.0%","1.16","34.5%","41.9%","36.5%","1.150","9.4%","27.1%","0.236","78.7%","0.285","19.5%","46.0%","34.5%","91.6","91.6"
"Danny Duffy","26.5","Royals","7","8","1","30","24","136.2","102","4.08","1.39","4.43","4.64","4.63","6.72","17.4%","3.49","9.0%","0.99","29.5%","38.8%","36.5%","1.070","17.8%","18.7%","0.260","75.8%","0.298","18.9%","51.7%","29.5%","93.8","93.6"
"Adam Wainwright","33.8","Cardinals","2","1","0","7","4","28.0","20","1.61","1.04","2.13","3.14","3.45","6.43","18.0%","1.29","3.6%","0.00","21.8%","51.2%","22.6%","2.260","0.0%","22.6%","0.234","75.9%","0.287","13.8%","64.4%","21.8%","89.6","90.5"
"Danny Salazar","25.5","Indians","14","10","0","30","30","185.0","195","3.45","1.13","3.62","3.48","3.39","9.49","25.8%","2.58","7.0%","1.12","28.9%","43.9%","37.4%","1.170","5.9%","31.5%","0.224","74.5%","0.278","17.1%","54.0%","28.9%","94.8","94.9"
"Alfredo Simon","34.1","Tigers","13","12","0","31","31","187.0","117","5.05","1.44","4.77","4.78","4.88","5.63","14.3%","3.27","8.3%","1.16","31.4%","43.6%","34.6%","1.260","11.8%","22.8%","0.270","67.8%","0.294","17.9%","50.7%","31.4%","92.7","92.7"
"Aaron Harang","37.1","Phillies","6","15","0","29","29","172.1","108","4.86","1.39","4.83","4.99","4.87","5.64","14.4%","2.66","6.8%","1.36","28.5%","36.1%","43.7%","0.830","12.1%","31.6%","0.274","69.7%","0.293","16.0%","55.6%","28.5%","89.5","89.0"
"Jon Niese","28.7","Mets","9","10","0","33","29","176.2","113","4.13","1.40","4.41","4.11","4.27","5.76","14.7%","2.80","7.1%","1.02","29.5%","54.5%","24.7%","2.210","5.0%","19.7%","0.272","71.5%","0.300","19.2%","51.3%","29.5%","89.1","89.2"
"Matt Cain","30.7","Giants","2","4","0","13","11","60.2","41","5.79","1.50","5.54","4.94","4.78","6.08","15.1%","2.97","7.4%","1.78","36.4%","35.8%","40.3%","0.890","12.3%","28.0%","0.287","71.6%","0.304","17.5%","46.1%","36.4%","90.7","91.0"
"Jordan Zimmermann","29.1","Nationals","13","10","0","33","33","201.2","164","3.66","1.20","3.75","3.82","3.83","7.32","19.7%","1.74","4.7%","1.07","29.2%","42.0%","36.2%","1.160","12.3%","23.9%","0.260","74.5%","0.302","20.2%","50.6%","29.2%","93.0","93.0"
"Cole Hamels","31.5","2 Teams","13","8","0","32","32","212.1","215","3.65","1.19","3.47","3.40","3.45","9.11","24.4%","2.63","7.1%","0.93","27.0%","47.7%","31.4%","1.520","12.0%","19.4%","0.235","75.3%","0.294","21.6%","51.4%","27.0%","92.6","92.1"
"Jose Quintana","26.4","White Sox","9","10","0","32","32","206.1","177","3.36","1.27","3.18","3.51","3.62","7.72","20.5%","1.92","5.1%","0.70","27.3%","47.1%","29.7%","1.580","6.4%","23.3%","0.269","76.3%","0.327","16.7%","55.9%","27.3%","91.6","91.3"
"Chi Chi Gonzalez","23.5","Rangers","4","6","0","14","10","67.0","30","3.90","1.21","4.97","5.26","5.59","4.03","10.7%","4.30","11.4%","0.81","28.4%","48.6%","31.1%","1.560","3.0%","28.1%","0.200","67.5%","0.206","15.8%","55.8%","28.4%","91.4","91.6"
"Max Scherzer","30.9","Nationals","14","12","0","33","33","228.2","276","2.79","0.92","2.77","2.88","2.63","10.86","30.7%","1.34","3.8%","1.06","27.7%","36.0%","45.4%","0.790","12.9%","32.5%","0.205","79.6%","0.268","20.9%","51.4%","27.7%","94.2","94.1"
"Chris Sale","26.3","White Sox","13","11","0","31","31","208.2","274","3.41","1.09","2.73","2.60","2.52","11.82","32.1%","1.81","4.9%","0.99","25.3%","42.6%","35.3%","1.210","9.8%","25.5%","0.232","73.2%","0.323","21.0%","53.7%","25.3%","94.5","89.9"
"Gerrit Cole","24.8","Pirates","19","8","0","32","32","208.0","202","2.60","1.09","2.66","3.16","3.23","8.74","24.3%","1.90","5.3%","0.48","29.5%","48.0%","29.6%","1.620","6.0%","23.6%","0.235","74.9%","0.304","20.0%","50.5%","29.5%","95.6","95.5"
"Williams Perez","24.1","Braves","7","6","1","23","20","116.2","73","4.78","1.55","4.87","4.79","4.87","5.63","14.2%","3.93","9.9%","1.00","29.4%","50.9%","28.8%","1.770","3.7%","25.1%","0.286","72.2%","0.318","13.9%","56.7%","29.4%","90.6","91.8"
"Kyle Kendrick","30.8","Rockies","7","13","0","27","27","142.1","80","6.32","1.52","6.12","5.09","5.05","5.06","12.7%","2.85","7.2%","2.09","34.6%","38.8%","39.2%","0.990","6.8%","32.4%","0.298","68.6%","0.300","13.7%","51.7%","34.6%","89.0",
"Jonathan Gray","23.6","Rockies","0","2","0","9","9","40.2","40","5.53","1.62","3.63","3.84","3.88","8.85","21.6%","3.10","7.6%","0.89","33.3%","43.2%","32.8%","1.320","9.8%","23.0%","0.308","67.3%","0.384","21.7%","45.0%","33.3%","94.4","94.3"
"Jered Weaver","32.7","Angels","7","12","0","26","26","159.0","90","4.64","1.23","4.81","5.10","4.88","5.09","13.5%","1.87","4.9%","1.36","30.0%","34.4%","46.5%","0.740","12.8%","33.7%","0.261","71.1%","0.273","21.0%","49.1%","30.0%","83.3","84.9"
"Rick Porcello","26.5","Red Sox","9","15","0","28","28","172.0","149","4.92","1.36","4.13","3.72","3.73","7.80","20.2%","1.99","5.2%","1.31","32.8%","45.7%","32.5%","1.400","5.2%","27.3%","0.284","67.5%","0.332","17.8%","49.4%","32.8%","91.0","91.3"
"Hisashi Iwakuma","34.2","Mariners","9","5","0","20","20","129.2","111","3.54","1.06","3.74","3.27","3.36","7.70","21.5%","1.46","4.1%","1.25","26.1%","50.4%","31.1%","1.620","6.8%","24.3%","0.237","75.6%","0.271","16.2%","57.7%","26.1%","88.4","88.9"
"Corey Kluber","29.2","Indians","9","16","0","32","32","222.0","245","3.49","1.05","2.97","3.05","2.98","9.93","27.7%","1.82","5.1%","0.89","27.0%","42.4%","35.9%","1.180","7.8%","28.1%","0.228","71.4%","0.297","17.8%","55.2%","27.0%","92.8","92.6"
"Francisco Liriano","31.7","Pirates","12","7","0","31","31","186.2","205","3.38","1.21","3.19","3.16","3.38","9.88","26.5%","3.38","9.1%","0.72","23.9%","51.2%","26.3%","1.950","9.4%","16.9%","0.222","74.2%","0.293","25.4%","50.7%","23.9%","92.5","92.1"
"Anthony DeSclafani","25.2","Reds","9","13","0","31","31","184.2","151","4.05","1.35","3.67","3.97","4.08","7.36","19.2%","2.68","7.0%","0.83","31.2%","45.1%","33.6%","1.340","10.2%","23.4%","0.268","69.9%","0.318","18.6%","50.2%","31.2%","92.5","92.7"
"Manny Banuelos","24.3","Braves","1","4","0","7","6","26.1","19","5.13","1.59","5.37","5.14","4.94","6.49","15.7%","4.10","9.9%","1.37","35.6%","40.2%","35.6%","1.130","3.2%","32.4%","0.283","71.1%","0.313","10.3%","54.0%","35.6%","89.0","88.9"
"David Phelps","28.7","Marlins","4","8","0","23","19","112.0","77","4.50","1.36","4.03","4.42","4.49","6.19","16.0%","2.65","6.9%","0.88","34.2%","41.8%","35.2%","1.190","8.7%","26.5%","0.267","69.0%","0.303","13.9%","51.9%","34.2%","90.2","90.4"
"Alex Wood","24.5","2 Teams","12","12","0","32","32","189.2","139","3.84","1.36","3.69","3.90","4.17","6.60","17.4%","2.80","7.4%","0.71","27.7%","49.5%","27.5%","1.800","8.8%","18.7%","0.268","72.9%","0.313","15.7%","56.6%","27.7%","89.1","89.3"
"Sonny Gray","25.6","Athletics","14","7","0","31","31","208.0","169","2.73","1.08","3.45","3.69","3.80","7.31","20.3%","2.55","7.1%","0.74","25.0%","52.7%","30.7%","1.720","8.2%","22.5%","0.216","76.8%","0.255","18.3%","56.7%","25.0%","92.9","93.0"
"Jarred Cosart","25.1","Marlins","2","5","0","14","13","69.2","47","4.52","1.38","5.12","4.46","4.71","6.07","15.9%","4.26","11.2%","1.29","26.0%","55.5%","27.0%","2.050","3.5%","23.5%","0.240","74.7%","0.259","20.0%","54.0%","26.0%","94.2","94.0"
"Carlos Martinez","23.8","Cardinals","14","7","0","31","29","179.2","184","3.01","1.29","3.21","3.28","3.44","9.22","24.4%","3.16","8.3%","0.65","27.2%","54.5%","25.5%","2.140","6.5%","19.0%","0.246","78.8%","0.318","21.2%","51.6%","27.2%","95.3","95.2"
"Matt Boyd","24.4","2 Teams","1","6","0","13","12","57.1","43","7.53","1.59","6.59","5.20","4.83","6.75","17.1%","3.14","7.9%","2.67","34.0%","31.9%","51.9%","0.610","11.5%","40.4%","0.307","61.6%","0.316","15.4%","50.5%","34.0%","91.1","91.1"
"Michael Lorenzen","23.5","Reds","4","9","0","27","21","113.1","83","5.40","1.66","5.40","4.82","4.98","6.59","16.1%","4.53","11.1%","1.43","29.3%","40.5%","31.2%","1.300","6.1%","25.1%","0.290","73.5%","0.322","15.7%","55.0%","29.3%","94.0","94.0"
"Derek Holland","28.7","Rangers","4","3","0","10","10","58.2","41","4.91","1.30","5.30","4.45","4.43","6.29","16.7%","2.61","6.9%","1.69","32.4%","41.9%","35.2%","1.190","7.9%","27.3%","0.265","74.7%","0.281","12.1%","55.5%","32.4%","92.9","90.6"
"Stephen Strasburg","26.9","Nationals","11","7","0","23","23","127.1","155","3.46","1.11","2.81","2.69","2.76","10.96","29.6%","1.84","5.0%","0.99","28.9%","42.2%","34.3%","1.230","14.2%","20.1%","0.233","70.7%","0.311","21.8%","49.3%","28.9%","95.4","95.4"
"Chad Bettis","26.2","Rockies","8","6","0","20","20","115.0","98","4.23","1.41","3.85","3.89","4.08","7.67","19.5%","3.29","8.4%","0.86","31.5%","49.3%","28.5%","1.730","5.0%","23.5%","0.263","72.9%","0.313","15.3%","53.2%","31.5%","92.0","91.8"
"Aaron Sanchez","23.0","Blue Jays","7","6","0","41","11","92.1","61","3.22","1.28","4.61","4.27","4.43","5.95","16.1%","4.29","11.6%","0.88","21.0%","60.6%","21.6%","2.810","6.9%","14.7%","0.222","79.3%","0.247","17.0%","62.0%","21.0%","94.9","93.3"
"Kyle Lohse","36.7","Brewers","5","13","2","37","22","152.1","108","5.85","1.46","5.12","4.48","4.43","6.38","16.2%","2.54","6.5%","1.71","32.5%","38.6%","38.2%","1.010","7.9%","30.3%","0.291","68.7%","0.314","18.0%","49.4%","32.5%","89.4","89.0"
"Garrett Richards","27.1","Angels","15","12","0","32","32","207.1","176","3.65","1.24","3.86","3.80","3.94","7.64","20.4%","3.30","8.8%","0.87","23.7%","54.9%","28.0%","1.960","10.2%","17.8%","0.231","71.8%","0.274","22.7%","53.6%","23.7%","95.5","95.7"
"Zachary Davies","22.4","Brewers","3","2","0","6","6","34.0","24","3.71","1.21","3.81","3.96","4.34","6.35","17.3%","3.97","10.8%","0.53","30.0%","57.6%","21.2%","2.710","9.5%","11.7%","0.210","70.7%","0.245","21.0%","49.0%","30.0%","88.8","88.9"
"Wily Peralta","26.1","Brewers","5","10","0","20","20","108.2","60","4.72","1.54","4.84","4.57","4.75","4.97","12.6%","3.06","7.7%","1.16","32.1%","51.6%","28.4%","1.820","6.7%","21.7%","0.297","73.3%","0.320","18.6%","49.3%","32.1%","94.3","94.1"
"Tommy Milone","28.4","Twins","9","5","1","24","23","128.2","91","3.92","1.27","4.30","4.22","4.39","6.37","16.8%","2.52","6.6%","1.19","26.0%","41.6%","35.4%","1.170","15.4%","20.0%","0.253","71.5%","0.279","18.3%","55.7%","26.0%","87.8","87.6"
"Dallas Keuchel","27.5","Astros","20","8","0","33","33","232.0","216","2.48","1.02","2.91","2.75","2.84","8.38","23.7%","1.98","5.6%","0.66","21.2%","61.7%","19.6%","3.140","12.0%","7.6%","0.216","79.4%","0.269","25.2%","53.6%","21.2%","89.6","89.6"
"Masahiro Tanaka","26.7","Yankees","12","7","0","24","24","154.0","139","3.51","0.99","3.98","3.29","3.36","8.12","22.8%","1.58","4.4%","1.46","30.6%","47.0%","33.8%","1.390","9.5%","24.3%","0.217","74.0%","0.242","19.3%","50.1%","30.6%","91.8","92.0"
"Clayton Kershaw","27.3","Dodgers","16","7","0","33","33","232.2","301","2.13","0.88","1.99","2.09","2.24","11.64","33.8%","1.62","4.7%","0.58","25.1%","50.0%","28.2%","1.770","9.5%","18.7%","0.193","78.3%","0.281","19.9%","55.0%","25.1%","93.6","93.6"
"Jesse Hahn","25.9","Athletics","6","6","0","16","16","96.2","64","3.35","1.17","3.51","3.90","4.01","5.96","15.8%","2.33","6.2%","0.47","23.3%","52.6%","22.9%","2.300","5.7%","17.2%","0.236","65.8%","0.273","19.7%","57.0%","23.3%","92.0","91.7"
"Brandon Finnegan","22.2","2 Teams","5","2","0","20","4","48.0","45","3.56","1.21","4.80","3.77","3.77","8.44","22.8%","3.94","10.7%","1.50","30.0%","54.3%","29.1%","1.860","8.1%","21.0%","0.211","83.7%","0.238","21.5%","48.5%","30.0%","92.7","93.8"
"Erik Johnson","25.5","White Sox","3","1","0","6","6","35.0","30","3.34","1.40","5.93","5.20","4.97","7.71","19.9%","4.37","11.3%","2.06","37.9%","23.8%","52.5%","0.450","17.0%","35.5%","0.241","92.8%","0.253","14.6%","47.6%","37.9%","91.4","91.3"
"Jeff Samardzija","30.4","White Sox","11","13","0","32","32","214.0","163","4.96","1.29","4.23","4.31","4.18","6.86","17.9%","2.06","5.4%","1.22","26.7%","39.0%","39.8%","0.980","10.1%","29.7%","0.269","67.2%","0.303","18.7%","54.7%","26.7%","94.2","94.3"
"Roberto Hernandez","34.8","Astros","3","5","0","20","11","84.2","42","4.36","1.37","4.48","4.53","4.69","4.46","11.8%","2.76","7.3%","0.96","29.5%","51.9%","28.8%","1.800","7.3%","21.5%","0.273","66.1%","0.290","15.3%","55.2%","29.5%","88.9","88.9"
"Jake Odorizzi","25.3","Rays","9","9","0","28","28","169.1","150","3.35","1.15","3.61","3.96","3.90","7.97","21.4%","2.44","6.6%","0.96","26.7%","37.3%","40.6%","0.920","10.6%","30.0%","0.229","77.0%","0.271","19.4%","53.9%","26.7%","91.3","91.1"
"Chase Anderson","27.6","Diamondbacks","6","6","0","27","27","152.2","111","4.30","1.30","4.14","4.17","4.26","6.54","17.3%","2.36","6.3%","1.06","27.2%","42.0%","34.4%","1.220","10.5%","23.9%","0.266","72.3%","0.302","13.1%","59.8%","27.2%","91.5","91.6"
"Steven Matz","24.1","Mets","4","0","0","6","6","35.2","34","2.27","1.23","3.61","3.56","3.63","8.58","22.8%","2.52","6.7%","1.01","21.2%","45.5%","33.7%","1.350","8.8%","24.9%","0.246","91.4%","0.300","17.3%","61.5%","21.2%","94.3","92.1"
"Drew Smyly","26.0","Rays","5","2","0","12","12","66.2","77","3.11","1.17","3.91","3.47","3.25","10.40","28.0%","2.70","7.3%","1.49","31.6%","36.8%","44.3%","0.830","13.0%","31.3%","0.228","86.5%","0.283","23.2%","45.2%","31.6%","90.3","90.3"
"Jon Lester","31.5","Cubs","11","12","0","32","32","205.0","207","3.34","1.12","2.92","3.06","3.19","9.09","25.0%","2.06","5.7%","0.70","29.2%","48.9%","29.3%","1.670","8.7%","20.6%","0.236","71.8%","0.303","21.4%","49.5%","29.2%","92.0","92.0"
"Matthew Wisler","22.8","Braves","8","8","0","20","19","109.0","72","4.71","1.46","4.93","5.10","4.98","5.94","15.1%","3.30","8.4%","1.32","28.2%","33.6%","43.2%","0.780","13.7%","29.5%","0.274","74.0%","0.298","17.1%","54.7%","28.2%","93.3","93.3"
"Scott Kazmir","31.4","2 Teams","7","11","0","31","31","183.0","155","3.10","1.21","3.98","4.14","4.10","7.62","20.3%","2.90","7.7%","0.98","25.7%","42.9%","37.3%","1.150","7.1%","30.2%","0.233","75.7%","0.273","18.9%","55.4%","25.7%","91.3","91.5"
"Jake Peavy","34.1","Giants","8","6","0","19","19","110.2","78","3.58","1.12","3.87","4.47","4.33","6.34","17.4%","2.03","5.6%","0.98","26.5%","37.9%","45.1%","0.840","9.9%","35.2%","0.235","74.2%","0.263","19.8%","53.6%","26.5%","90.2","90.1"
"Michael Wacha","24.0","Cardinals","17","7","0","30","30","181.1","153","3.38","1.21","3.87","3.88","4.03","7.59","20.1%","2.88","7.6%","0.94","29.5%","45.8%","32.0%","1.430","11.2%","20.8%","0.232","76.2%","0.272","20.7%","49.7%","29.5%","94.2","93.9"
"Aaron Nola","22.1","Phillies","6","2","0","13","13","77.2","68","3.59","1.20","4.04","3.58","3.66","7.88","21.4%","2.20","6.0%","1.27","27.5%","47.6%","32.4%","1.470","8.2%","24.2%","0.249","80.4%","0.289","19.7%","52.8%","27.5%","90.5","90.7"
"Ubaldo Jimenez","31.4","Orioles","12","10","0","32","32","184.0","168","4.11","1.36","4.01","3.83","3.93","8.22","21.2%","3.33","8.6%","0.98","26.3%","49.1%","28.8%","1.700","12.3%","16.5%","0.256","73.8%","0.309","18.9%","54.8%","26.3%","90.6","90.7"
"Eduardo Rodriguez","22.2","Red Sox","10","6","0","21","21","121.2","98","3.85","1.29","3.92","4.05","4.16","7.25","18.8%","2.74","7.1%","0.96","31.4%","43.0%","33.4%","1.290","14.4%","19.0%","0.249","74.2%","0.289","19.4%","49.2%","31.4%","94.0","93.9"
"Chris Young","36.1","Royals","11","6","0","34","18","123.1","83","3.06","1.09","4.52","5.33","5.15","6.06","16.6%","3.14","8.6%","1.17","33.4%","25.5%","57.9%","0.440","14.8%","43.1%","0.199","80.7%","0.209","18.4%","48.1%","33.4%","86.6","86.4"
"Cody Anderson","24.8","Indians","7","3","0","15","15","91.1","44","3.05","1.11","4.27","4.58","4.89","4.34","12.1%","2.36","6.6%","0.89","26.7%","45.9%","33.6%","1.370","15.3%","18.3%","0.226","78.3%","0.237","21.6%","51.7%","26.7%","92.2","92.1"
"Shaun Marcum","33.5","Indians","3","2","0","7","6","35.0","30","5.40","1.23","5.79","4.35","4.10","7.71","21.1%","2.83","7.8%","2.31","31.0%","33.0%","45.0%","0.730","8.9%","36.1%","0.246","73.3%","0.253","19.0%","50.0%","31.0%","85.2","85.1"
"Marco Estrada","32.0","Blue Jays","13","8","0","34","28","181.0","131","3.13","1.04","4.40","4.93","4.64","6.51","18.1%","2.73","7.6%","1.19","27.2%","32.2%","52.3%","0.620","11.6%","40.7%","0.202","79.2%","0.216","21.4%","51.4%","27.2%","89.3","89.1"
"Mark Buehrle","36.3","Blue Jays","15","8","0","32","32","198.2","91","3.81","1.24","4.26","4.46","4.71","4.12","11.0%","1.49","4.0%","1.00","28.4%","45.9%","32.6%","1.410","8.6%","24.0%","0.272","69.0%","0.285","17.0%","54.6%","28.4%","83.4","83.9"
"Bartolo Colon","42.1","Mets","14","13","0","33","31","194.2","136","4.16","1.24","3.84","3.94","4.02","6.29","16.7%","1.11","2.9%","1.16","29.0%","42.3%","36.9%","1.150","7.7%","29.2%","0.276","71.9%","0.307","17.2%","53.8%","29.0%","88.3","90.3"
"John Lamb","25.0","Reds","1","5","0","10","10","49.2","58","5.80","1.55","4.16","3.73","3.56","10.51","26.4%","3.44","8.6%","1.45","22.7%","37.7%","40.6%","0.930","14.3%","26.3%","0.291","69.3%","0.376","19.9%","57.4%","22.7%","91.1","91.1"
"C.J. Wilson","34.6","Angels","8","8","0","21","21","132.0","110","3.89","1.24","4.02","4.24","4.20","7.50","19.9%","3.14","8.3%","0.89","32.0%","43.1%","35.0%","1.230","9.7%","25.3%","0.237","73.8%","0.281","14.5%","53.5%","32.0%","90.3","90.3"
"Ivan Nova","28.5","Yankees","6","11","0","17","17","94.0","63","5.07","1.40","4.87","4.59","4.58","6.03","15.3%","3.16","8.0%","1.24","32.3%","49.0%","31.7%","1.550","9.3%","22.4%","0.265","70.4%","0.290","18.7%","49.0%","32.3%","93.0","93.2"
"Tom Koehler","29.0","Marlins","11","14","0","32","31","187.1","137","4.08","1.37","4.53","4.58","4.67","6.58","17.1%","3.70","9.6%","1.06","34.0%","46.0%","35.6%","1.290","7.0%","28.6%","0.251","71.9%","0.283","16.0%","50.0%","34.0%","92.1","92.0"
"Joe Ross","22.1","Nationals","5","5","0","16","13","76.2","69","3.64","1.11","3.42","3.62","3.66","8.10","22.0%","2.47","6.7%","0.82","29.7%","49.8%","33.8%","1.470","11.1%","22.7%","0.220","70.0%","0.265","18.0%","52.3%","29.7%","93.4","92.6"
"Taijuan Walker","22.9","Mariners","11","8","0","29","29","169.2","157","4.56","1.20","4.07","3.82","3.69","8.33","22.2%","2.12","5.7%","1.33","30.2%","38.6%","39.0%","0.990","9.9%","29.1%","0.248","67.8%","0.291","16.8%","53.0%","30.2%","94.3","94.1"
"Mike Fiers","30.0","2 Teams","7","10","0","31","30","180.1","180","3.69","1.25","4.03","4.04","3.84","8.98","23.7%","3.19","8.4%","1.20","33.5%","37.6%","42.1%","0.890","12.7%","29.4%","0.234","75.1%","0.283","19.8%","46.8%","33.5%","89.4","89.4"
"Madison Bumgarner","25.9","Giants","18","9","0","32","32","218.1","234","2.93","1.01","2.87","3.02","3.00","9.65","26.9%","1.61","4.5%","0.87","27.8%","41.7%","35.6%","1.170","12.1%","23.5%","0.220","77.9%","0.282","19.2%","53.0%","27.8%","92.1","92.0"
"Luis Severino","21.4","Yankees","5","3","0","11","11","62.1","56","2.89","1.20","4.37","3.72","3.84","8.09","22.0%","3.18","8.6%","1.30","26.3%","50.9%","29.7%","1.710","13.5%","16.2%","0.229","87.0%","0.265","26.9%","46.9%","26.3%","95.3","95.2"
"Nathan Eovaldi","25.4","Yankees","14","3","0","27","27","154.1","121","4.20","1.45","3.42","3.81","3.99","7.06","18.0%","2.86","7.3%","0.58","28.0%","52.2%","26.0%","2.010","7.0%","19.0%","0.282","72.8%","0.337","21.2%","50.8%","28.0%","96.7","96.6"
"Robbie Ray","23.7","Diamondbacks","5","12","0","23","23","127.2","119","3.52","1.33","3.53","4.03","4.05","8.39","21.8%","3.45","9.0%","0.63","35.0%","43.3%","34.6%","1.250","6.5%","28.1%","0.248","73.8%","0.311","15.2%","49.9%","35.0%","93.3","93.3"
"Ryan Vogelsong","37.9","Giants","9","11","0","33","22","135.0","108","4.67","1.47","4.53","4.55","4.54","7.20","18.1%","3.87","9.7%","1.13","30.8%","44.7%","36.1%","1.240","5.9%","30.2%","0.261","70.5%","0.299","17.5%","51.7%","30.8%","91.1","91.0"
